id,Peso,Longitud_tarso,Longitud_ala,Longitud_pico,Longitud_pluma_interior_de_la_cola,Longitud_pluma_exterior_de_la_cola,target
A2-2012-08-30,52.8,26.6,35.0,12.3,NA,NA,24
C7-2014-09-25,81.8,33.0,156.0,15.2,50.5,6.5,66
F9-2014-09-30,71.0,NA,NA,NA,NA,NA,43
B13-2014-10-17,95.0,NA,NA,NA,NA,NA,50
D5-2014-11-03,55.0,32.5,143.5,15.2,51.0,68.5,72
B13-2014-09-28,84.0,29.6,46.0,13.8,NA,NA,31
F19-2014-10-05,88.6,31.2,161.5,14.9,53.0,75.0,67
FD-2012-09-30,92.5,34.0,126.0,15.2,48.0,56.0,57
H4-2013-10-22,50.6,31.6,143.0,15.3,52.0,67.0,67
D6-2012-10-31,77.9,NA,NA,NA,NA,NA,74
A7-2014-08-31,49.3,30.8,56.0,14.0,NA,NA,35
B3-2017-10-18,88.0,31.3,107.0,15.9,45.0,48.0,46
E14-2012-10-20,90.1,NA,NA,NA,NA,NA,62
D9-2014-09-04,64.7,32.0,71.5,15.6,18.0,22.0,41
FD-2015-09-12,21.4,15.7,17.0,10.2,NA,NA,10
D6-2012-09-29,74.9,NA,NA,NA,NA,NA,42
B9-2014-09-18,50.2,29.4,54.5,13.4,5.0,5.0,38
D5-2012-09-25,68.4,NA,NA,NA,NA,NA,36
D4-2014-09-25,64.3,32.6,137.0,15.7,51.5,63.0,61
H9-2014-09-25,66.2,NA,NA,NA,NA,NA,36
B12-2017-08-28,52.9,20.5,22.0,11.9,NA,NA,15
F11-2017-10-13,76.9,32.6,158.0,15.6,60.0,77.0,63
D7-2015-09-29,87.6,33.0,102.0,15.2,38.0,41.0,51
E16-2012-09-18,72.1,28.2,51.0,13.9,NA,NA,31
H3-2015-10-16,71.4,32.3,169.0,15.9,55.0,78.0,74
A9-2014-09-24,32.0,NA,NA,NA,NA,NA,35
B13-2014-09-21,61.1,NA,NA,NA,NA,NA,24
H5-2017-10-15,69.6,32.9,160.0,16.1,55.0,78.0,68
E22-2017-09-08,69.8,30.9,47.0,14.4,NA,NA,32
B6-2012-09-10,57.6,NA,NA,NA,NA,NA,17
F17-2016-09-26,68.8,31.6,70.0,14.2,21.0,23.0,43
H7-2017-10-09,66.3,31.1,98.0,16.0,NA,NA,48
B12-2015-09-10,70.4,30.3,59.0,13.8,14.0,14.0,34
A9-2014-10-18,70.3,NA,NA,NA,NA,NA,59
D4-2014-09-04,72.7,32.4,76.0,15.2,23.0,25.0,40
F6-2017-09-16,56.2,28.0,41.0,14.4,NA,NA,29
C4-2015-09-14,65.0,29.1,52.0,13.5,NA,NA,37
C8-2014-09-21,69.0,30.3,50.0,14.2,NA,NA,34
FA-2012-09-28,74.1,29.0,41.0,13.9,NA,NA,32
G12-2015-09-16,79.3,32.9,100.0,15.9,34.0,38.0,52
B13-2012-10-03,85.4,NA,NA,NA,NA,NA,42
